0
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Netpay, Porosity, Permeability, Depth, Period, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Netpay, Porosity, Permeability, Depth, Lithology, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Permeability, Lithology, Depth]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Porosity, Permeability, Depth, Tectonic regime, Netpay]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Depth, Permeability, Lithology, Porosity]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Porosity', 'Depth'), ('Porosity', 'Permeability')]""]"
"[-6400.83, '[Period, Lithology, Gross, Permeability, Netpay, Porosity, Tectonic regime, Structural setting, Depth]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Structural setting, Netpay, Porosity, Permeability, Depth, Lithology, Gross, Period]', ""[('Tectonic regime', 'Structural setting'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Gross', 'Netpay'), ('Period', 'Porosity'), ('Period', 'Gross')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Porosity, Permeability, Depth, Lithology, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime, Period]', ""[('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Netpay, Depth, Porosity, Lithology, Gross, Permeability]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Lithology, Structural setting, Netpay, Porosity, Permeability, Depth, Tectonic regime, Gross, Period]', ""[('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Gross', 'Netpay'), ('Period', 'Porosity'), ('Period', 'Gross')]""]"
"[-6400.83, '[Period, Structural setting, Netpay, Porosity, Permeability, Lithology, Gross, Depth, Tectonic regime]', ""[('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Gross', 'Netpay'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Porosity, Permeability, Depth, Netpay, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Netpay, Porosity, Permeability, Period, Gross, Depth]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Porosity, Permeability, Lithology, Gross, Netpay, Depth]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Period, Structural setting, Gross, Netpay, Porosity, Depth, Tectonic regime, Permeability, Lithology]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Netpay, Porosity, Depth, Period, Permeability, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Period, Lithology, Gross, Netpay, Porosity, Permeability, Depth, Structural setting, Tectonic regime]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Porosity, Permeability, Period, Depth, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Porosity, Permeability, Depth, Netpay, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Netpay, Porosity, Permeability, Depth, Period, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Depth, Lithology, Permeability]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Period]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Porosity, Permeability, Depth, Period, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Netpay, Porosity, Depth, Tectonic regime, Permeability]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Period, Structural setting, Gross, Netpay, Porosity, Depth, Tectonic regime, Lithology, Permeability]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Tectonic regime]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Permeability, Lithology, Depth]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Gross, Porosity, Permeability, Depth, Period, Netpay]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Lithology, Structural setting, Gross, Netpay, Permeability, Depth, Porosity, Tectonic regime, Period]', ""[('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Gross', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity')]""]"
"[-6400.83, '[Tectonic regime, Lithology, Structural setting, Porosity, Permeability, Depth, Netpay, Period, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Netpay')]""]"
"[-6400.83, '[Tectonic regime, Period, Structural setting, Netpay, Porosity, Permeability, Depth, Gross, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Gross', 'Netpay'), ('Lithology', 'Permeability'), ('Lithology', 'Gross')]""]"
